Li-Yang Tan, Assistant Professor, Theory
John Ousterhout, Professor, Computer Systems + Operating/Distributed Systems
Aviad Rubinstein, Assistant Professor, Theory
Emma Brunskill, Associate Professor, Artificial Intelligence + Computational Education + Human-Centered and Creative AI + Machine Learning + Reinforcement Learning + Statistical or Theoretical Machine Learning
Gregory Valiant, Associate Professor, Theory
Chelsea Finn, Assistant Professor, Artificial Intelligence + Computational Education + Empirical Machine Learning + Machine Learning + Reinforcement Learning + Robotics
Stefano Ermon, Assistant Professor, Artificial Intelligence + Computer Vision + Empirical Machine Learning + Human-Centered and Creative AI + Machine Learning + Statistical or Theoretical Machine Learning
Thomas Icard, Courtesy Professor, Artificial Intelligence + Computational Cognitive & Neuro-science + Human-Centered and Creative AI
Zakir Durumeric, Assistant Professor, Computer Systems + Computer Security
Tengyu Ma, Assistant Professor, Artificial Intelligence + Empirical Machine Learning + Machine Learning + Natural Language Processing and Speech + Reinforcement Learning + Statistical or Theoretical Machine Learning
Christos Kozyrakis, Professor, Computer Systems + Architecture + Operating/Distributed Systems
Jeannette Bohg, Assistant Professor, Artificial Intelligence + Computer Vision + Empirical Machine Learning + Robotics
Dawson Engler, Associate Professor, Computer Systems + Programming Systems and Verification
Serena Yeung, Courtesy Professor, Artificial Intelligence + Biomedicine and Health + Computer Vision + Empirical Machine Learning + Human-Centered and Creative AI
Noah Goodman, Associate Professor, Artificial Intelligence + Computational Cognitive & Neuro-science + Computational Education + Natural Language Processing and Speech
James Zou, Courtesy Professor, Artificial Intelligence + Biomedicine and Health + Empirical Machine Learning + Human-Centered and Creative AI + Statistical or Theoretical Machine Learning 
Fei-Fei Li, Professor, Artificial Intelligence + Biomedicine and Health + Computational Cognitive & Neuro-science + Computer Vision + Machine Learning + Robotics
Omer Reingold, Professor, Theory
Jennifer Widom, Professor, Computer Systems + Data Science
